Actor,Wiki Page,First winning film role or First nomination,Wining role URL,First Year,Last Year
Gene Hackman,https://en.wikipedia.org/wiki/Gene_Hackman,"French Connection, The",https://en.wikipedia.org/wiki/The_French_Connection_(film),1967,1992
Jean Hagen,https://en.wikipedia.org/wiki/Jean_Hagen,Singin' in the Rain,https://en.wikipedia.org/wiki/Singin%27_in_the_Rain,1952,1952
Jackie Earle Haley,https://en.wikipedia.org/wiki/Jackie_Earle_Haley,Little Children,https://en.wikipedia.org/wiki/Little_Children_(film),2006,2006
Grayson Hall,https://en.wikipedia.org/wiki/Grayson_Hall,"Night of the Iguana, The",https://en.wikipedia.org/wiki/The_Night_of_the_Iguana_(film),1964,1964
Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,Philadelphia,https://en.wikipedia.org/wiki/Philadelphia_(film),1988,2019
Marcia Gay Harden,https://en.wikipedia.org/wiki/Marcia_Gay_Harden,Pollock,https://en.wikipedia.org/wiki/Pollock_(film),2000,2003
Ann Harding,https://en.wikipedia.org/wiki/Ann_Harding,Holiday,https://en.wikipedia.org/wiki/Holiday_(1930_film),1930,1930
Tom Hardy,https://en.wikipedia.org/wiki/Tom_Hardy,"Revenant, The",https://en.wikipedia.org/wiki/The_Revenant_(2015_film),2015,2015
Tess Harper,https://en.wikipedia.org/wiki/Tess_Harper,Crimes of the Heart,https://en.wikipedia.org/wiki/Crimes_of_the_Heart_(film),1986,1986
Woody Harrelson,https://en.wikipedia.org/wiki/Woody_Harrelson,"People vs. Larry Flynt, The",https://en.wikipedia.org/wiki/The_People_vs._Larry_Flynt,1996,2017
Barbara Harris,https://en.wikipedia.org/wiki/Barbara_Harris_(actress),Who Is Harry Kellerman...?,https://en.wikipedia.org/wiki/Who_Is_Harry_Kellerman_and_Why_Is_He_Saying_Those_Terrible_Things_About_Me%3F,1971,1971
Ed Harris,https://en.wikipedia.org/wiki/Ed_Harris,Pollock,https://en.wikipedia.org/wiki/Pollock_(film),1995,2002
Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris_(actress),"Member of the Wedding, The",https://en.wikipedia.org/wiki/The_Member_of_the_Wedding_(film),1952,1952
Naomie Harris,https://en.wikipedia.org/wiki/Naomie_Harris,Moonlight,https://en.wikipedia.org/wiki/Moonlight_(2016_film),2016,2016
Richard Harris,https://en.wikipedia.org/wiki/Richard_Harris,This Sporting Life,https://en.wikipedia.org/wiki/This_Sporting_Life,1963,1990
Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,Tom & Viv,https://en.wikipedia.org/wiki/Tom_%26_Viv,1994,1994
Rex Harrison,https://en.wikipedia.org/wiki/Rex_Harrison,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady_(film),1963,1964
Elizabeth Hartman,https://en.wikipedia.org/wiki/Elizabeth_Hartman,"Patch of Blue, A",https://en.wikipedia.org/wiki/A_Patch_of_Blue,1965,1965
Laurence Harvey,https://en.wikipedia.org/wiki/Laurence_Harvey,Room at the Top,https://en.wikipedia.org/wiki/Room_at_the_Top_(1959_film),1959,1959
Anne Hathaway,https://en.wikipedia.org/wiki/Anne_Hathaway,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),2008,2012
Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,Training Day,https://en.wikipedia.org/wiki/Training_Day,2001,2014
John Hawkes,https://en.wikipedia.org/wiki/John_Hawkes_(actor),Winter's Bone,https://en.wikipedia.org/wiki/Winter%27s_Bone,2010,2010
Sally Hawkins,https://en.wikipedia.org/wiki/Sally_Hawkins,"Shape of Water, The",https://en.wikipedia.org/wiki/The_Shape_of_Water_(film),2013,2017
Goldie Hawn,https://en.wikipedia.org/wiki/Goldie_Hawn,Cactus Flower,https://en.wikipedia.org/wiki/Cactus_Flower_(film),1969,1980
Nigel Hawthorne,https://en.wikipedia.org/wiki/Nigel_Hawthorne,"Madness of King George, The",https://en.wikipedia.org/wiki/The_Madness_of_King_George,1994,1994
Sessue Hayakawa,https://en.wikipedia.org/wiki/Sessue_Hayakawa,"Bridge on the River Kwai, The",https://en.wikipedia.org/wiki/The_Bridge_on_the_River_Kwai,1957,1957
Salma Hayek,https://en.wikipedia.org/wiki/Salma_Hayek,Frida,https://en.wikipedia.org/wiki/Frida,2002,2002
Helen Hayes,https://en.wikipedia.org/wiki/Helen_Hayes,"Sin of Madelon Claudet, The",https://en.wikipedia.org/wiki/The_Sin_of_Madelon_Claudet,1931,1970
Susan Hayward,https://en.wikipedia.org/wiki/Susan_Hayward,I Want to Live!,https://en.wikipedia.org/wiki/I_Want_to_Live!,1947,1958
Eileen Heckart,https://en.wikipedia.org/wiki/Eileen_Heckart,Butterflies Are Free,https://en.wikipedia.org/wiki/Butterflies_Are_Free,1956,1972
Lucas Hedges,https://en.wikipedia.org/wiki/Lucas_Hedges,Manchester by the Sea,https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film),2016,2016
Van Heflin,https://en.wikipedia.org/wiki/Van_Heflin,Johnny Eager,https://en.wikipedia.org/wiki/Johnny_Eager,1942,1942
Mariel Hemingway,https://en.wikipedia.org/wiki/Mariel_Hemingway,Manhattan,https://en.wikipedia.org/wiki/Manhattan_(film),1979,1979
Justin Henry,https://en.wikipedia.org/wiki/Justin_Henry,Kramer vs. Kramer,https://en.wikipedia.org/wiki/Kramer_vs._Kramer,1979,1979
Taraji P. Henson,https://en.wikipedia.org/wiki/Taraji_P._Henson,"Curious Case of Benjamin Button, The",https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film),2008,2008
Audrey Hepburn,https://en.wikipedia.org/wiki/Audrey_Hepburn,Roman Holiday,https://en.wikipedia.org/wiki/Roman_Holiday,1953,1967
Katharine Hepburn,https://en.wikipedia.org/wiki/Katharine_Hepburn,Morning Glory,https://en.wikipedia.org/wiki/Morning_Glory_(1933_film),1933,1981
Barbara Hershey,https://en.wikipedia.org/wiki/Barbara_Hershey,"Portrait of a Lady, The",https://en.wikipedia.org/wiki/The_Portrait_of_a_Lady_(film),1996,1996
Charlton Heston,https://en.wikipedia.org/wiki/Charlton_Heston,Ben-Hur,https://en.wikipedia.org/wiki/Ben-Hur_(1959_film),1959,1959
William Hickey,https://en.wikipedia.org/wiki/William_Hickey_(actor),Prizzi's Honor,https://en.wikipedia.org/wiki/Prizzi%27s_Honor,1985,1985
Jonah Hill,https://en.wikipedia.org/wiki/Jonah_Hill,Moneyball,https://en.wikipedia.org/wiki/Moneyball_(film),2011,2013
Wendy Hiller,https://en.wikipedia.org/wiki/Wendy_Hiller,Separate Tables,https://en.wikipedia.org/wiki/Separate_Tables_(film),1938,1966
Judd Hirsch,https://en.wikipedia.org/wiki/Judd_Hirsch,Ordinary People,https://en.wikipedia.org/wiki/Ordinary_People,1980,1980
Dustin Hoffman,https://en.wikipedia.org/wiki/Dustin_Hoffman,Kramer vs. Kramer,https://en.wikipedia.org/wiki/Kramer_vs._Kramer,1967,1997
Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,Capote,https://en.wikipedia.org/wiki/Capote_(film),2005,2012
Hal Holbrook,https://en.wikipedia.org/wiki/Hal_Holbrook,Into the Wild,https://en.wikipedia.org/wiki/Into_the_Wild_(film),2007,2007
William Holden,https://en.wikipedia.org/wiki/William_Holden,Stalag 17,https://en.wikipedia.org/wiki/Stalag_17,1950,1976
Judy Holliday,https://en.wikipedia.org/wiki/Judy_Holliday,Born Yesterday,https://en.wikipedia.org/wiki/Born_Yesterday_(1950_film),1950,1950
Stanley Holloway,https://en.wikipedia.org/wiki/Stanley_Holloway,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady_(film),1964,1964
Celeste Holm,https://en.wikipedia.org/wiki/Celeste_Holm,Gentleman's Agreement,https://en.wikipedia.org/wiki/Gentleman%27s_Agreement,1947,1950
Ian Holm,https://en.wikipedia.org/wiki/Ian_Holm,Chariots of Fire,https://en.wikipedia.org/wiki/Chariots_of_Fire,1981,1981
Oskar Homolka,https://en.wikipedia.org/wiki/Oskar_Homolka,I Remember Mama,https://en.wikipedia.org/wiki/I_Remember_Mama_(film),1948,1948
Anthony Hopkins,https://en.wikipedia.org/wiki/Anthony_Hopkins,"Silence of the Lambs, The",https://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film),1991,2019
Miriam Hopkins,https://en.wikipedia.org/wiki/Miriam_Hopkins,Becky Sharp,https://en.wikipedia.org/wiki/Becky_Sharp_(film),1935,1935
Dennis Hopper,https://en.wikipedia.org/wiki/Dennis_Hopper,Hoosiers,https://en.wikipedia.org/wiki/Hoosiers_(film),1986,1986
Bob Hoskins,https://en.wikipedia.org/wiki/Bob_Hoskins,Mona Lisa,https://en.wikipedia.org/wiki/Mona_Lisa_(1986_film),1986,1986
Djimon Hounsou,https://en.wikipedia.org/wiki/Djimon_Hounsou,In America,https://en.wikipedia.org/wiki/In_America_(film),2003,2006
John Houseman,https://en.wikipedia.org/wiki/John_Houseman,"Paper Chase, The",https://en.wikipedia.org/wiki/The_Paper_Chase_(film),1973,1973
Leslie Howard,https://en.wikipedia.org/wiki/Leslie_Howard_(actor),Berkeley Square,https://en.wikipedia.org/wiki/Berkeley_Square_(1933_film),1933,1938
Terrence Howard,https://en.wikipedia.org/wiki/Terrence_Howard,Hustle & Flow,https://en.wikipedia.org/wiki/Hustle_%26_Flow,2005,2005
Trevor Howard,https://en.wikipedia.org/wiki/Trevor_Howard,Sons and Lovers,https://en.wikipedia.org/wiki/Sons_and_Lovers_(film),1960,1960
Jennifer Hudson,https://en.wikipedia.org/wiki/Jennifer_Hudson,Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls_(film),2006,2006
Kate Hudson,https://en.wikipedia.org/wiki/Kate_Hudson,Almost Famous,https://en.wikipedia.org/wiki/Almost_Famous,2000,2000
Rock Hudson,https://en.wikipedia.org/wiki/Rock_Hudson,Giant,https://en.wikipedia.org/wiki/Giant_(1956_film),1956,1956
Felicity Huffman,https://en.wikipedia.org/wiki/Felicity_Huffman,Transamerica,https://en.wikipedia.org/wiki/Transamerica_(film),2005,2005
Tom Hulce,https://en.wikipedia.org/wiki/Tom_Hulce,Amadeus,https://en.wikipedia.org/wiki/Amadeus_(film),1984,1984
Josephine Hull,https://en.wikipedia.org/wiki/Josephine_Hull,Harvey,https://en.wikipedia.org/wiki/Harvey_(film),1950,1950
Arthur Hunnicutt,https://en.wikipedia.org/wiki/Arthur_Hunnicutt,"Big Sky, The",https://en.wikipedia.org/wiki/The_Big_Sky_(film),1952,1952
Helen Hunt,https://en.wikipedia.org/wiki/Helen_Hunt,As Good as It Gets,https://en.wikipedia.org/wiki/As_Good_as_It_Gets,1997,2012
Linda Hunt,https://en.wikipedia.org/wiki/Linda_Hunt,"Year of Living Dangerously, The",https://en.wikipedia.org/wiki/The_Year_of_Living_Dangerously_(film),1983,1983
Holly Hunter,https://en.wikipedia.org/wiki/Holly_Hunter,"Piano, The",https://en.wikipedia.org/wiki/The_Piano,1987,2003
Kim Hunter,https://en.wikipedia.org/wiki/Kim_Hunter,"Streetcar Named Desire, A",https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(1951_film),1951,1951
Isabelle Huppert,https://en.wikipedia.org/wiki/Isabelle_Huppert,Elle,https://en.wikipedia.org/wiki/Elle_(film),2016,2016
John Hurt,https://en.wikipedia.org/wiki/John_Hurt,"Elephant Man, The",https://en.wikipedia.org/wiki/The_Elephant_Man_(film),1978,1980
William Hurt,https://en.wikipedia.org/wiki/William_Hurt,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(film),1985,2005
Ruth Hussey,https://en.wikipedia.org/wiki/Ruth_Hussey,"Philadelphia Story, The",https://en.wikipedia.org/wiki/The_Philadelphia_Story_(film),1940,1940
Anjelica Huston,https://en.wikipedia.org/wiki/Anjelica_Huston,Prizzi's Honor,https://en.wikipedia.org/wiki/Prizzi%27s_Honor,1985,1990
John Huston,https://en.wikipedia.org/wiki/John_Huston,"Cardinal, The",https://en.wikipedia.org/wiki/The_Cardinal,1963,1963
Walter Huston,https://en.wikipedia.org/wiki/Walter_Huston,"Treasure of the Sierra Madre, The",https://en.wikipedia.org/wiki/The_Treasure_of_the_Sierra_Madre_(film),1936,1948
Timothy Hutton,https://en.wikipedia.org/wiki/Timothy_Hutton,Ordinary People,https://en.wikipedia.org/wiki/Ordinary_People,1980,1980
Martha Hyer,https://en.wikipedia.org/wiki/Martha_Hyer,Some Came Running,https://en.wikipedia.org/wiki/Some_Came_Running_(film),1958,1958
John Ireland,https://en.wikipedia.org/wiki/John_Ireland_(actor),All the King's Men,https://en.wikipedia.org/wiki/All_the_King%27s_Men_(1949_film),1949,1949
Jeremy Irons,https://en.wikipedia.org/wiki/Jeremy_Irons,Reversal of Fortune,https://en.wikipedia.org/wiki/Reversal_of_Fortune,1990,1990
Amy Irving,https://en.wikipedia.org/wiki/Amy_Irving,Yentl,https://en.wikipedia.org/wiki/Yentl_(film),1983,1983
Burl Ives,https://en.wikipedia.org/wiki/Burl_Ives,"Big Country, The",https://en.wikipedia.org/wiki/The_Big_Country,1958,1958
Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),2012,2012
Glenda Jackson,https://en.wikipedia.org/wiki/Glenda_Jackson,Women in Love,https://en.wikipedia.org/wiki/Women_in_Love_(film),1970,1975
Samuel L. Jackson,https://en.wikipedia.org/wiki/Samuel_L._Jackson,Pulp Fiction,https://en.wikipedia.org/wiki/Pulp_Fiction,1994,1994
Richard Jaeckel,https://en.wikipedia.org/wiki/Richard_Jaeckel,Sometimes a Great Notion,https://en.wikipedia.org/wiki/Sometimes_a_Great_Notion_(film),1971,1971
Sam Jaffe,https://en.wikipedia.org/wiki/Sam_Jaffe,"Asphalt Jungle, The",https://en.wikipedia.org/wiki/The_Asphalt_Jungle,1950,1950
Dean Jagger,https://en.wikipedia.org/wiki/Dean_Jagger,Twelve O'Clock High,https://en.wikipedia.org/wiki/Twelve_O%27Clock_High,1949,1949
Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,"I, Tonya","https://en.wikipedia.org/wiki/I,_Tonya",2017,2017
Emil Jannings,https://en.wikipedia.org/wiki/Emil_Jannings,"Way of All Flesh, The",https://en.wikipedia.org/wiki/The_Way_of_All_Flesh_(1927_film),1927,1927
Marianne Jean-Baptiste,https://en.wikipedia.org/wiki/Marianne_Jean-Baptiste,Secrets & Lies,https://en.wikipedia.org/wiki/Secrets_%26_Lies_(film),1996,1996
Richard Jenkins,https://en.wikipedia.org/wiki/Richard_Jenkins,"Visitor, The",https://en.wikipedia.org/wiki/The_Visitor_(2007_drama_film),2008,2017
Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,Marriage Story,https://en.wikipedia.org/wiki/Marriage_Story_(2019_film),2019,2019
Glynis Johns,https://en.wikipedia.org/wiki/Glynis_Johns,"Sundowners, The",https://en.wikipedia.org/wiki/The_Sundowners_(1960_film),1960,1960
Ben Johnson,https://en.wikipedia.org/wiki/Ben_Johnson_(actor),"Last Picture Show, The",https://en.wikipedia.org/wiki/The_Last_Picture_Show,1971,1971
Celia Johnson,https://en.wikipedia.org/wiki/Celia_Johnson,Brief Encounter,https://en.wikipedia.org/wiki/Brief_Encounter,1946,1946
Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie,"Girl, Interrupted","https://en.wikipedia.org/wiki/Girl,_Interrupted_(film)",1999,2008
Carolyn Jones,https://en.wikipedia.org/wiki/Carolyn_Jones,"Bachelor Party, The",https://en.wikipedia.org/wiki/The_Bachelor_Party#Film_adaptation,1957,1957
Felicity Jones,https://en.wikipedia.org/wiki/Felicity_Jones,"Theory of Everything, The",https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),2014,2014
James Earl Jones,https://en.wikipedia.org/wiki/James_Earl_Jones,"Great White Hope, The",https://en.wikipedia.org/wiki/The_Great_White_Hope_(film),1970,1970
Jennifer Jones,https://en.wikipedia.org/wiki/Jennifer_Jones,"Song of Bernadette, The",https://en.wikipedia.org/wiki/The_Song_of_Bernadette_(film),1943,1955
Shirley Jones,https://en.wikipedia.org/wiki/Shirley_Jones,Elmer Gantry,https://en.wikipedia.org/wiki/Elmer_Gantry_(film),1960,1960
Tommy Lee Jones,https://en.wikipedia.org/wiki/Tommy_Lee_Jones,"Fugitive, The",https://en.wikipedia.org/wiki/The_Fugitive_(1993_film),1991,2012
Katy Jurado,https://en.wikipedia.org/wiki/Katy_Jurado,Broken Lance,https://en.wikipedia.org/wiki/Broken_Lance,1954,1954
Madeline Kahn,https://en.wikipedia.org/wiki/Madeline_Kahn,Paper Moon,https://en.wikipedia.org/wiki/Paper_Moon_(film),1973,1974
Daniel Kaluuya,https://en.wikipedia.org/wiki/Daniel_Kaluuya,Get Out,https://en.wikipedia.org/wiki/Get_Out,2017,2017
Ida Kamińska,https://en.wikipedia.org/wiki/Ida_Kami%C5%84ska,"Shop on Main Street, The",https://en.wikipedia.org/wiki/The_Shop_on_Main_Street,1966,1966
Carol Kane,https://en.wikipedia.org/wiki/Carol_Kane,Hester Street,https://en.wikipedia.org/wiki/Hester_Street_(film),1975,1975
Diane Keaton,https://en.wikipedia.org/wiki/Diane_Keaton,Annie Hall,https://en.wikipedia.org/wiki/Annie_Hall,1977,2003
Michael Keaton,https://en.wikipedia.org/wiki/Michael_Keaton,Birdman,https://en.wikipedia.org/wiki/Birdman_(film),2014,2014
Lila Kedrova,https://en.wikipedia.org/wiki/Lila_Kedrova,Zorba the Greek,https://en.wikipedia.org/wiki/Zorba_the_Greek_(film),1964,1964
Catherine Keener,https://en.wikipedia.org/wiki/Catherine_Keener,Being John Malkovich,https://en.wikipedia.org/wiki/Being_John_Malkovich,1999,2005
Harvey Keitel,https://en.wikipedia.org/wiki/Harvey_Keitel,Bugsy,https://en.wikipedia.org/wiki/Bugsy,1991,1991
Cecil Kellaway,https://en.wikipedia.org/wiki/Cecil_Kellaway,"Luck of the Irish, The",https://en.wikipedia.org/wiki/The_Luck_of_the_Irish_(1948_film),1948,1967
Sally Kellerman,https://en.wikipedia.org/wiki/Sally_Kellerman,MASH,https://en.wikipedia.org/wiki/MASH_(film),1970,1970
Gene Kelly,https://en.wikipedia.org/wiki/Gene_Kelly,Anchors Aweigh,https://en.wikipedia.org/wiki/Anchors_Aweigh_(film),1945,1945
Grace Kelly,https://en.wikipedia.org/wiki/Grace_Kelly,"Country Girl, The",https://en.wikipedia.org/wiki/The_Country_Girl_(1954_film),1953,1954
Nancy Kelly,https://en.wikipedia.org/wiki/Nancy_Kelly,"Bad Seed, The",https://en.wikipedia.org/wiki/The_Bad_Seed,1956,1956
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,Up in the Air,https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film),2009,2009
Arthur Kennedy,https://en.wikipedia.org/wiki/Arthur_Kennedy,Bright Victory,https://en.wikipedia.org/wiki/Bright_Victory,1949,1958
George Kennedy,https://en.wikipedia.org/wiki/George_Kennedy,Cool Hand Luke,https://en.wikipedia.org/wiki/Cool_Hand_Luke,1967,1967
Deborah Kerr,https://en.wikipedia.org/wiki/Deborah_Kerr,"Edward, My Son","https://en.wikipedia.org/wiki/Edward,_My_Son",1949,1960
Nicole Kidman,https://en.wikipedia.org/wiki/Nicole_Kidman,"Hours, The",https://en.wikipedia.org/wiki/The_Hours_(film),2001,2016
Rinko Kikuchi,https://en.wikipedia.org/wiki/Rinko_Kikuchi,Babel,https://en.wikipedia.org/wiki/Babel_(film),2006,2006
Regina King,https://en.wikipedia.org/wiki/Regina_King,If Beale Street Could Talk,https://en.wikipedia.org/wiki/If_Beale_Street_Could_Talk_(film),2018,2018
Ben Kingsley,https://en.wikipedia.org/wiki/Ben_Kingsley,Gandhi,https://en.wikipedia.org/wiki/Gandhi_(film),1982,2003
Greg Kinnear,https://en.wikipedia.org/wiki/Greg_Kinnear,As Good as It Gets,https://en.wikipedia.org/wiki/As_Good_as_It_Gets,1997,1997
Sally Kirkland,https://en.wikipedia.org/wiki/Sally_Kirkland,Anna,https://en.wikipedia.org/wiki/Anna_(1987_film),1987,1987
Kevin Kline,https://en.wikipedia.org/wiki/Kevin_Kline,"Fish Called Wanda, A",https://en.wikipedia.org/wiki/A_Fish_Called_Wanda,1988,1988
Shirley Knight,https://en.wikipedia.org/wiki/Shirley_Knight,"Dark at the Top of the Stairs, The",https://en.wikipedia.org/wiki/The_Dark_at_the_Top_of_the_Stairs_(film),1960,1962
Keira Knightley,https://en.wikipedia.org/wiki/Keira_Knightley,Pride & Prejudice,https://en.wikipedia.org/wiki/Pride_%26_Prejudice_(2005_film),2005,2014
Alexander Knox,https://en.wikipedia.org/wiki/Alexander_Knox,Wilson,https://en.wikipedia.org/wiki/Wilson_(1944_film),1944,1944
Susan Kohner,https://en.wikipedia.org/wiki/Susan_Kohner,Imitation of Life,https://en.wikipedia.org/wiki/Imitation_of_Life_(1959_film),1959,1959
Miliza Korjus,https://en.wikipedia.org/wiki/Miliza_Korjus,"Great Waltz, The",https://en.wikipedia.org/wiki/The_Great_Waltz_(1938_film),1938,1938
Jack Kruschen,https://en.wikipedia.org/wiki/Jack_Kruschen,"Apartment, The",https://en.wikipedia.org/wiki/The_Apartment,1960,1960
Diane Ladd,https://en.wikipedia.org/wiki/Diane_Ladd,Alice Doesn't Live Here Anymore,https://en.wikipedia.org/wiki/Alice_Doesn%27t_Live_Here_Anymore,1974,1991
Jocelyne LaGarde,https://en.wikipedia.org/wiki/Jocelyne_LaGarde,Hawaii,https://en.wikipedia.org/wiki/Hawaii_(1966_film),1966,1966
Christine Lahti,https://en.wikipedia.org/wiki/Christine_Lahti,Swing Shift,https://en.wikipedia.org/wiki/Swing_Shift_(film),1984,1984
Burt Lancaster,https://en.wikipedia.org/wiki/Burt_Lancaster,Elmer Gantry,https://en.wikipedia.org/wiki/Elmer_Gantry_(film),1953,1981
Elsa Lanchester,https://en.wikipedia.org/wiki/Elsa_Lanchester,Come to the Stable,https://en.wikipedia.org/wiki/Come_to_the_Stable,1949,1957
Martin Landau,https://en.wikipedia.org/wiki/Martin_Landau,Ed Wood,https://en.wikipedia.org/wiki/Ed_Wood_(film),1988,1994
Diane Lane,https://en.wikipedia.org/wiki/Diane_Lane,Unfaithful,https://en.wikipedia.org/wiki/Unfaithful_(2002_film),2002,2002
Hope Lange,https://en.wikipedia.org/wiki/Hope_Lange,Peyton Place,https://en.wikipedia.org/wiki/Peyton_Place_(film),1957,1957
Jessica Lange,https://en.wikipedia.org/wiki/Jessica_Lange,Blue Sky,https://en.wikipedia.org/wiki/Blue_Sky_(1994_film),1982,1994
Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Frost/Nixon,https://en.wikipedia.org/wiki/Frost/Nixon_(film),2008,2008
Angela Lansbury,https://en.wikipedia.org/wiki/Angela_Lansbury,Gaslight,https://en.wikipedia.org/wiki/Gaslight_(1944_film),1944,1962
Brie Larson,https://en.wikipedia.org/wiki/Brie_Larson,Room,https://en.wikipedia.org/wiki/Room_(2015_film),2015,2015
Queen Latifah,https://en.wikipedia.org/wiki/Queen_Latifah,Chicago,https://en.wikipedia.org/wiki/Chicago_(2002_film),2002,2002
Charles Laughton,https://en.wikipedia.org/wiki/Charles_Laughton,"Private Life of Henry VIII, The",https://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII,1933,1957
Piper Laurie,https://en.wikipedia.org/wiki/Piper_Laurie,"Hustler, The",https://en.wikipedia.org/wiki/The_Hustler_(film),1961,1986
Jude Law,https://en.wikipedia.org/wiki/Jude_Law,Cold Mountain,https://en.wikipedia.org/wiki/Cold_Mountain_(film),1999,2003
Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence,Silver Linings Playbook,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,2010,2015
Eva Le Gallienne,https://en.wikipedia.org/wiki/Eva_Le_Gallienne,Resurrection,https://en.wikipedia.org/wiki/Resurrection_(1980_film),1980,1980
Cloris Leachman,https://en.wikipedia.org/wiki/Cloris_Leachman,"Last Picture Show, The",https://en.wikipedia.org/wiki/The_Last_Picture_Show,1971,1971
Heath Ledger,https://en.wikipedia.org/wiki/Heath_Ledger,"Dark Knight, The",https://en.wikipedia.org/wiki/The_Dark_Knight_(film),2005,2008
Peggy Lee,https://en.wikipedia.org/wiki/Peggy_Lee,Pete Kelly's Blues,https://en.wikipedia.org/wiki/Pete_Kelly%27s_Blues_(film),1955,1955
Andrea Leeds,https://en.wikipedia.org/wiki/Andrea_Leeds,Stage Door,https://en.wikipedia.org/wiki/Stage_Door,1937,1937
Janet Leigh,https://en.wikipedia.org/wiki/Janet_Leigh,Psycho,https://en.wikipedia.org/wiki/Psycho_(1960_film),1960,1960
Jennifer Jason Leigh,https://en.wikipedia.org/wiki/Jennifer_Jason_Leigh,"Hateful Eight, The",https://en.wikipedia.org/wiki/The_Hateful_Eight,2015,2015
Vivien Leigh,https://en.wikipedia.org/wiki/Vivien_Leigh,Gone with the Wind,https://en.wikipedia.org/wiki/Gone_with_the_Wind_(film),1939,1951
Margaret Leighton,https://en.wikipedia.org/wiki/Margaret_Leighton,"Go-Between, The",https://en.wikipedia.org/wiki/The_Go-Between_(1971_film),1971,1971
Jack Lemmon,https://en.wikipedia.org/wiki/Jack_Lemmon,Save the Tiger,https://en.wikipedia.org/wiki/Save_the_Tiger,1955,1982
Lotte Lenya,https://en.wikipedia.org/wiki/Lotte_Lenya,"Roman Spring of Mrs. Stone, The",https://en.wikipedia.org/wiki/The_Roman_Spring_of_Mrs._Stone,1961,1961
Melissa Leo,https://en.wikipedia.org/wiki/Melissa_Leo,"Fighter, The",https://en.wikipedia.org/wiki/The_Fighter,2008,2010
Michael Lerner,https://en.wikipedia.org/wiki/Michael_Lerner_(actor),Barton Fink,https://en.wikipedia.org/wiki/Barton_Fink,1991,1991
Jared Leto,https://en.wikipedia.org/wiki/Jared_Leto,Dallas Buyers Club,https://en.wikipedia.org/wiki/Dallas_Buyers_Club,2013,2013
Juliette Lewis,https://en.wikipedia.org/wiki/Juliette_Lewis,Cape Fear,https://en.wikipedia.org/wiki/Cape_Fear_(1991_film),1991,1991
Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,You Can Count On Me,https://en.wikipedia.org/wiki/You_Can_Count_On_Me,2000,2007
John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,"World According to Garp, The",https://en.wikipedia.org/wiki/The_World_According_to_Garp_(film),1982,1983
Sondra Locke,https://en.wikipedia.org/wiki/Sondra_Locke,"Heart Is a Lonely Hunter, The",https://en.wikipedia.org/wiki/The_Heart_Is_a_Lonely_Hunter_(film),1968,1968
Gene Lockhart,https://en.wikipedia.org/wiki/Gene_Lockhart,Algiers,https://en.wikipedia.org/wiki/Algiers_(film),1938,1938
Robert Loggia,https://en.wikipedia.org/wiki/Robert_Loggia,Jagged Edge,https://en.wikipedia.org/wiki/Jagged_Edge_(film),1985,1985
Carole Lombard,https://en.wikipedia.org/wiki/Carole_Lombard,My Man Godfrey,https://en.wikipedia.org/wiki/My_Man_Godfrey,1936,1936
Sophia Loren,https://en.wikipedia.org/wiki/Sophia_Loren,Two Women,https://en.wikipedia.org/wiki/Two_Women,1961,1964
Joan Lorring,https://en.wikipedia.org/wiki/Joan_Lorring,"Corn Is Green, The",https://en.wikipedia.org/wiki/The_Corn_Is_Green_(1945_film),1945,1945
Bessie Love,https://en.wikipedia.org/wiki/Bessie_Love,"Broadway Melody, The",https://en.wikipedia.org/wiki/The_Broadway_Melody,1929,1929
